# Expt	Phase	Comp	P[GPa]	T [C]	buffer 	Oxygens	Si	Si unc	Al	Al unc	Fe(tot)	Fe unc	Mo	Mo unc	Mg	Mg unc	Ca	Ca unc	Na	Na unc	Re	Total	Fe3/Fetotal	Fe3/Fetotal unc
H4557	fcc_iron	MORB	14	1800	Fe	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
H4557	stv	MORB	14	1800	Fe	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Z1785	gt	BFI	20	1800	Mo	12	3.647	0.039	0.602	0.074	0.373	0.063	0	0	3.089	0.104	0.308	0.038	0.046	0.012	0	8.065	0.05	0.02
Z1785	ring	BFI	20	1800	Mo	4	0.982	0.01	0.003	0	0.198	0.002	0	0	1.834	0.018	0	0	0	0	0	3.017	0	0
Z1785	hpx	BFI	20	1800	Mo	6	1.958	0.007	0.049	0.016	0.11	0.015	0	0	1.806	0.01	0.089	0.004	0.009	0.001	0	4.022	0	0
Z1785	stv	BFI	20	1800	Mo	2	0.991	0.007	0.008	0.002	0.001	0.001	0	0	0.005	0.008	0	0	0	0	0	1.005	0	0
Z1785	Mo	BFI	20	1800	Mo	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Z1785	MoO2	BFI	20	1800	Mo	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0

Z1786	gt	BFI	20	1800	Fe	12	3.422	0.064	1.121	0.167	0.477	0.094	0	0	2.519	0.095	0.411	0.053	0.096	0.014	0	8.046	0.08	0.02
Z1786	ring	BFI	20	1800	Fe	4	0.985	0.008	0.004	0.001	0.507	0.007	0	0	1.512	0.012	0.003	0.002	0.005	0.001	0	3.015	0	0
Z1786	wad	BFI	20	1800	Fe	4	1.001	0.025	0.01	0.006	0.293	0.021	0	0	1.678	0.037	0.009	0.01	0.007	0.001	0	2.998	0	0
Z1786	fcc_iron	BFI	20	1800	Fe	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0

Z1782	gt	BFI	17	1600	Mo	12	3.276	0.071	1.46	0.151	0.665	0.04	0	0	2.166	0.053	0.359	0.038	0.069	0.007	0	7.995	0.1	0.04
Z1782	ol	BFI	17	1600	Mo	4	1.002	0.005	0.002	0.002	0.722	0.005	0	0	1.267	0.008	0.001	0.001	0.004	0.001	0	2.999	0	0
Z1782	ring	BFI	17	1600	Mo	4	1.002	0.005	0.004	0.001	0.531	0.006	0	0	1.454	0.008	0.001	0.001	0.009	0.001	0	3.001	0	0
Z1782	hpx	BFI	17	1600	Mo	6	2.001	0.031	0.012	0.008	0.23	0.02	0	0	1.72	0.031	0.026	0.011	0.007	0.002	0	3.996	0	0
Z1782	Mo	BFI	17	1600	Mo	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Z1782	MoO2	BFI	17	1600	Mo	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
