% Supplemental Table S1: P-V-T data on Fe–9Si from synchrotron X-ray diffraction experiments.
% Phase(s)	T sample (K)	± (K)	Pressure (GPa)	± (GPa)	a KBr (Å)	± (Å)	a D03 alloy (Å)	± (Å)	a hcp alloy (Å)	± (Å)	c/a hcp alloy	±	a B2 alloy (Å)	± (Å)	a fcc alloy (Å)	± (Å)
hcp	2566	126	196.8	3.9	2.885	0.005	-	-	2.221	0.001	1.615	0.001	-	-	-	-
hcp+B2	1423	109	45.5	1.0	3.295	0.005	-	-	2.411	0.001	1.622	0.001	2.694	0.004	-	-
hcp+B2	1514	110	45.3	0.8	3.297	0.004	-	-	2.409	0.001	1.624	0.000	2.700	0.004	-	-
hcp+B2	1147	110	22.3	0.4	3.481	0.002	-	-	2.469	0.002	1.621	0.001	2.772	0.003	-	-
hcp+B2	1596	109	45.4	0.9	3.297	0.004	-	-	2.410	0.001	1.625	0.000	2.701	0.001	-	-
hcp+B2	1673	114	45.4	0.9	3.297	0.004	-	-	2.409	0.000	1.625	0.000	2.701	0.000	-	-
hcp+B2	1728	112	45.5	0.9	3.297	0.004	-	-	2.410	0.001	1.625	0.000	2.705	0.005	-	-
hcp+B2	1796	111	45.3	0.9	3.300	0.004	-	-	2.411	0.000	1.626	0.000	2.702	0.001	-	-
hcp+B2	1877	111	45.6	0.9	3.300	0.003	-	-	2.413	0.000	1.626	0.000	2.705	0.001	-	-
hcp+B2	1973	116	45.8	0.9	3.300	0.003	-	-	2.415	0.001	1.626	0.000	2.706	0.002	-	-
hcp+B2	1559	126	59.5	1.1	3.221	0.004	-	-	2.380	0.001	1.619	0.001	2.665	*	-	-
hcp+B2	1905	128	59.7	1.0	3.222	0.003	-	-	2.385	0.000	1.624	0.000	2.669	0.000	-	-
hcp+B2	2073	132	59.6	1.0	3.224	0.003	-	-	2.382	0.002	1.628	0.001	2.673	0.001	-	-
hcp+B2	2181	128	60.1	1.0	3.222	0.003	-	-	2.386	0.002	1.628	0.001	2.674	0.000	-	-
hcp+B2	1997	126	60.1	1.0	3.221	0.003	-	-	2.379	0.002	1.629	0.002	2.673	0.001	-	-
hcp+B2	1809	133	60.0	0.9	3.220	0.003	-	-	2.382	0.001	1.625	0.000	2.668	0.001	-	-
hcp+B2	1690	133	59.9	0.9	3.220	0.003	-	-	2.380	0.000	1.625	0.000	2.667	0.000	-	-
hcp+B2	1584	132	59.9	0.8	3.219	0.002	-	-	2.378	0.001	1.624	0.000	2.665	0.001	-	-
hcp+B2	1503	128	59.8	0.8	3.219	0.003	-	-	2.379	0.001	1.624	0.001	2.665	0.001	-	-
hcp+B2	1847	120	72.2	1.3	3.168	0.004	-	-	2.359	0.002	1.625	0.001	2.644	0.000	-	-
hcp+B2	1908	115	72.6	1.4	3.167	0.005	-	-	2.358	0.001	1.625	0.001	2.644	0.002	-	-
hcp+B2	1996	117	72.3	1.3	3.168	0.004	-	-	2.359	0.001	1.625	0.001	2.640	0.001	-	-
hcp+B2	2141	116	72.7	1.2	3.168	0.003	-	-	2.362	0.001	1.625	0.000	2.644	0.002	-	-
hcp+B2	2236	121	72.7	1.3	3.168	0.004	-	-	2.363	0.001	1.625	0.000	2.646	0.001	-	-
hcp+B2	2360	134	73.0	1.2	3.168	0.003	-	-	2.365	0.000	1.625	0.000	2.647	0.001	-	-
hcp+B2	2492	143	73.1	1.2	3.168	0.003	-	-	2.367	0.000	1.627	0.000	2.650	0.002	-	-
hcp+B2	2617	133	73.6	1.3	3.167	0.003	-	-	2.367	0.000	1.629	0.000	2.655	0.001	-	-
hcp+B2	1959	129	86.2	1.3	3.118	0.004	-	-	2.338	0.001	1.622	0.001	2.619	0.005	-	-
hcp+B2	2083	120	86.7	1.4	3.117	0.004	-	-	2.339	0.001	1.624	0.001	2.617	0.004	-	-
hcp+B2	2170	123	86.4	1.3	3.119	0.003	-	-	2.340	0.001	1.623	0.000	2.617	0.001	-	-
hcp+B2	2339	121	86.6	1.4	3.119	0.003	-	-	2.340	0.001	1.624	0.001	2.620	0.001	-	-
hcp+B2	1282	109	29.3	0.7	3.412	0.005	-	-	2.455	0.003	1.606	0.002	2.748	0.001	-	-
hcp+B2	1199	106	29.8	0.5	3.406	0.002	-	-	2.452	0.001	1.618	0.001	2.746	0.001	-	-
hcp+B2	1262	115	22.3	0.5	3.482	0.002	-	-	2.473	0.002	1.618	0.001	2.775	0.001	-	-
hcp+B2	1338	113	22.4	0.5	3.483	0.002	-	-	2.477	0.001	1.610	0.000	2.776	0.003	-	-
hcp+B2	1980	113	97.7	2.1	3.083	0.006	-	-	2.318	0.001	1.623	0.001	2.595	0.002	-	-
