>> -W0.5,grey,- 
20.250019 -0.0901913218824 0.5
20.500018 -0.0895848700851 0.5
20.750017 -0.0889858817741 0.5
21.000016 -0.0883942238959 0.5
21.250015 -0.0878097664954 0.5
21.500014 -0.087232382627 0.5
21.750013 -0.0866619482687 0.5
22.000012 -0.0860983422391 0.5
22.250011 -0.0855414461174 0.5
22.50001 -0.0849911441657 0.5
22.750009 -0.0844473232544 0.5
23.000008 -0.0839098727894 0.5
23.250007 -0.0833786846426 0.5
23.500006 -0.0828536530836 0.5
23.750005 -0.0823346747145 0.5
24.000004 -0.0818216484065 0.5
24.250003 -0.0813144752385 0.5
24.500002 -0.0808130584376 0.5
24.750001 -0.0803173033216 0.5
25.0 -0.0798271172437 0.5
>> -W0.5,black,- 
0.0001 -0.123177482855 0.26
0.250099 -0.121647890088 0.26
0.500098 -0.120152897517 0.26
0.750097 -0.118691376654 0.26
1.000096 -0.117262246867 0.26
1.250095 -0.115864472894 0.26
1.500094 -0.114497062502 0.26
1.750093 -0.113159064299 0.26
2.000092 -0.111849565668 0.26
2.250091 -0.110567690828 0.26
2.50009 -0.109312599013 0.26
2.750089 -0.108083482753 0.26
3.000088 -0.106879566254 0.26
3.250087 -0.105700103874 0.26
3.500086 -0.104544378688 0.26
3.750085 -0.103411701126 0.26
4.000084 -0.102301407693 0.26
4.250083 -0.101212859759 0.26
4.500082 -0.100145442417 0.26
4.750081 -0.0990985633972 0.26
5.00008 -0.0980716520462 0.26
5.250079 -0.0970641583576 0.26
5.500078 -0.0960755520542 0.26
5.750077 -0.0951053217194 0.26
6.000076 -0.0941529739727 0.26
6.250075 -0.0932180326887 0.26
6.500074 -0.0923000382556 0.26
6.750073 -0.0913985468719 0.26
7.000072 -0.0905131298776 0.26
7.250071 -0.08964337312 0.26
7.50007 -0.0887888763503 0.26
7.750069 -0.0879492526496 0.26
8.000068 -0.0871241278838 0.26
8.250067 -0.0863131401845 0.26
8.500066 -0.085515939454 0.26
8.750065 -0.0847321868955 0.26
9.000064 -0.0839615545644 0.26
9.250063 -0.0832037249409 0.26
9.500062 -0.0824583905227 0.26
9.750061 -0.0817252534364 0.26
