P, iron_wus_fO2, wus_fe4o5_fO2, wus_mt_fO2, fe4o5_mt_fO2, fe4o5_hem_fO2, mt_hem_fO2, fmq_fO2, fmc_fO2, rmc_fO2, rms_fO2, rfs_fO2, Re_fO2, Mo_fO2
3600085000.0 -10.5855300381 -4.94419173951 -7.37530896011 -11.3383924512 -5.47842201105 -2.54843679099 -5.93284598274 -6.00317377961 -6.96492445748 -3.65180219265 -1.08960543982 -4.67040217966 -10.0370732591 
3840084000.0 -10.4948967324 -4.81796037424 -7.2342094755 -10.9875478724 -5.34954978266 -2.53055073777 -5.78124296871 -5.89614355628 -6.75160671328 -3.59192980736 -1.12672378567 -4.57981897402 -9.94134511273 
4080083000.0 -10.4044805334 -4.69163941115 -7.09299599651 -10.6375373978 -5.22067298828 -2.51224078352 -5.63157831104 -5.78907370278 -6.5392078517 -3.53211663661 -1.16364304955 -4.48944826114 -9.84582162513 
4320082000.0 -10.3142783813 -4.56635044104 -6.95167739566 -10.2883519025 -5.09179257276 -2.49351290791 -5.48369609775 -5.68196849568 -6.3277165743 -3.47236317414 -1.20036693137 -4.39928803098 -9.75050087352 
4560081000.0 -10.2242872838 -4.44359722372 -6.81026212661 -9.93998243272 -4.96290945793 -2.47437297053 -5.33747391211 -5.57483206447 -6.11712184435 -3.41266989666 -1.2368990513 -4.30933630759 -9.65538096826 
4800080000.0 -10.1345043144 -4.31327919764 -6.66875824875 -9.59242020153 -4.83402454325 -2.4548267141 -5.19281212932 -5.46766839741 -5.90741287809 -3.35303726438 -1.273242952 -4.21959114828 -9.56046005199 
5040079000.0 -10.0449266106 -4.18811751153 -6.52717344997 -9.24565658417 -4.7051387064 -2.43487976752 -5.04962749175 -5.36048134706 -5.69857913628 -3.29346572155 -1.30940210067 -4.13005064283 -9.46573629892 
5280078000.0 -9.95555137235 -4.06228400403 -6.38551506782 -8.89968311414 -4.57625280391 -2.41453764879 -4.90784898264 -5.25327463556 -5.49061031616 -3.23395569689 -1.34537989114 -4.04071291271 -9.37120791399 
5520077000.0 -9.86637586058 -3.93631806955 -6.24379010921 -8.55449147911 -4.44736767165 -2.39380576792 -4.76741503598 -5.14605185964 -5.28349634372 -3.17450760412 -1.38117964579 -3.95157611032 -9.27687313219 
5760076000.0 -9.7773973955 -3.81118598093 -6.10200526868 -8.2100735171 -4.31848412547 -2.37268942965 -4.62827157128 -5.03881649549 -5.07722736636 -3.11512184236 -1.41680461745 -3.86263841826 -9.1827302178 
6000075000.0 -9.68861335517 -3.68574545531 -5.96016694551 -7.86642121268 -4.18960296169 -2.35119383619 -4.49037056301 -4.9315719033 -4.87179374576 -3.05579879663 -1.45225799127 -3.77389804862 -9.08877746368 
6240074000.0 -9.60002117407 -4.16502371524 -5.8182812596 -7.52352669331 -4.06072495761 -2.32932408976 -4.35366897031 -4.82432133163 -4.66718605118 -2.9965388382 -1.4875428865 -3.68535324233 -8.99501319065 
6480073000.0 -9.51161834163 -4.36791643258 -5.67635406637 -7.18138222588 -3.93185087205 -2.30708519514 -4.21812791753 -4.71706792164 -4.46339505291 -2.93734232508 -1.52266235815 -3.59700226842 -8.90143574678 
6720072000.0 -9.4234024009 -4.47658789776 -5.53439097061 -6.83998021323 -3.8029814458 -2.28448206209 -4.08371205432 -4.60981471105 -4.26041171603 -2.87820960235 -1.55761939872 -3.50884342345 -8.80804350678 
6960071000.0 -9.33537094715 -4.54224840433 -5.39239733954 -6.49931319088 -3.67411740211 -2.26151950772 -3.95038904745 -4.50256463799 -4.05822719447 -2.81914100258 -1.59241693982 -3.42087503083 -8.71483487137 
7200070000.0 -9.24752162663 -4.58190807975 -5.2503783149 -6.15937382383 -3.54525944714 -2.23820225879 -3.818129171 -4.39532054464 -3.85683282527 -2.7601368462 -1.62705785365 -3.33309544027 -8.62180826668 
7440069000.0 -9.15985213525 -4.60372833088 -5.10833882445 -5.82015490339 -3.4164082704 -2.21453495391 -3.68690497165 -4.2880851807 -3.65622012302 -2.70119744182 -1.66154495462 -3.24550302711 -8.52896214372 
7680068000.0 -9.07236021735 -4.61237026021 -4.96628359258 -5.48164934425 -3.28756454521 -2.19052214569 -3.55669099213 -4.18086120682 -3.4563807746 -2.64232308662 -1.69588100075 -3.15809619183 -8.43629497773 
7920067000.0 -8.98504366452 -4.61079070433 -4.82421715044 -5.14385018148 -3.15872892907 -2.16616830286 -3.42746354019 -4.07365119769 -3.25730663409 -2.58351406668 -1.73006869507 -3.07087335944 -8.3438052677 
8160066000.0 -8.89790031438 -4.60100330256 -4.68214384534 -4.80675056777 -3.02990206408 -2.14147781224 -3.29920049394 -3.96645764521 -3.05898971785 -2.52477065726 -1.76411068709 -2.98383297897 -8.25149153581 
8400065000.0 -8.81092804947 -4.5844516615 -4.54006784961 -4.47034377061 -2.90108457737 -2.11645498074 -3.17188113635 -3.85928296136 -2.86142219987 -2.46609312317 -1.79800957403 -2.89697352291 -8.15935232695 
8640064000.0 -8.72412479615 -4.56221189273 -4.39799316903 -4.13462316965 -2.77227708141 -2.09110403729 -3.0454860135 -3.75212948105 -2.66459640715 -2.40748171905 -1.83176790218 -2.81029348675 -8.06738620816 
8880063000.0 -8.63748852348 -4.53511114593 -4.25592365061 -3.79958225412 -2.64348017444 -2.0654291346 -2.91999681235 -3.64499946482 -2.46850481543 -2.34893668963 -1.86538816813 -2.72379138845 -7.97559176819 
