>> -W1,black
12.7869494537 -0.997663542985
13.0117426538 -0.813047925597
13.2445460825 -0.618251233297
13.485697544 -0.412425368493
13.7355466404 -0.194595879986
13.9944542336 0.0363669444264
14.2627916943 0.281786273696
14.5409399051 0.543230082386
14.8292879816 0.822581526781
15.1282316695 1.12213752082
15.4381713762 1.44475028147
15.7595097933 1.79403648209
16.0926490665 2.17469685076
16.4379874856 2.59302442307
16.7959155991 3.05775295303
17.1668118564 3.58156086649
17.5510376163 4.18395074681
17.9489316242 4.89735714795
18.3608039515 5.78211407459
18.7869294218 6.97227640416
19.2275407774 8.88690570038
>> -W1,red
8.0 -3.76313797658
8.5 -3.59038738245
9.0 -3.41839431781
9.5 -3.2471252426
10.0 -3.07654869567
10.5 -2.90663512554
11.0 -2.73735673804
11.5 -2.56868735919
12.0 -2.4006023112
12.5 -2.23307830025
13.0 -2.06609331472
13.5 -1.89962653266
14.0 -1.73365823753
14.5 -1.53455287426
15.0 -1.3337933987
15.5 -1.1339750241
16.0 -0.93507072641
16.5 -0.737054651103
17.0 -0.539902044982
17.5 -0.343589192939
18.0 -0.148093359327
>> -W1,blue
8.0 -1.87428806885
8.5 -1.63493551181
9.0 -1.39926521853
9.5 -1.1671131869
10.0 -0.938335866085
10.5 -0.712806255345
11.0 -0.490410976237
11.5 -0.271048024716
12.0 -0.0546250112821
12.5 0.158942239964
13.0 0.369730822864
13.5 0.577811674812
14.0 0.783250342475
14.5 0.986107621557
15.0 1.18644009612
15.5 1.3843005969
16.0 1.57973859356
16.5 1.77280053274
17.0 1.96353013096
17.5 2.15196863
18.0 2.33815502054
>> -W0.5,grey,
8.0 -2.71146748435 0.6
8.15475873284 -2.74134286079 0.6
8.30951746567 -2.77082588511 0.6
8.46427619851 -2.79991934081 0.6
8.61903493134 -2.82862598102 0.6
8.77379366418 -2.85694852897 0.6
8.92855239701 -2.88488967931 0.6
9.08331112985 -2.91245209512 0.6
9.23806986268 -2.93963841322 0.6
9.39282859552 -2.96645124147 0.6
9.54758732835 -2.99289315995 0.6
>> -W0.5,grey,-
8.0 -2.42731736225 0.65
8.20118668702 -2.46696176551 0.65
8.40237337404 -2.50594729233 0.65
8.60356006106 -2.54427984587 0.65
8.80474674809 -2.58196525054 0.65
9.00593343511 -2.61900925339 0.65
9.20712012213 -2.65541752512 0.65
9.40830680915 -2.69119566196 0.65
9.60949349617 -2.72634918663 0.65
9.81068018319 -2.76088354969 0.65
10.0118668702 -2.79480413085 0.65
>> -W0.5,grey,
8.0 -2.07974869504 0.7
8.25330457783 -2.13064890702 0.7
8.50660915567 -2.18051269248 0.7
8.7599137335 -2.22935138258 0.7
9.01321831134 -2.27717613156 0.7
9.26652288917 -2.32399792014 0.7
9.51982746701 -2.36982755897 0.7
9.77313204484 -2.41467569192 0.7
10.0264366227 -2.45855279947 0.7
10.2797412005 -2.50146920193 0.7
10.5330457783 -2.54343506266 0.7
>> -W0.5,grey,-
8.0 -1.64679827261 0.75
8.31239193327 -1.7107456246 0.75
8.62478386654 -1.77313209262 0.75
8.93717579981 -1.83397801437 0.75
9.24956773308 -1.89330336988 0.75
9.56195966635 -1.95112778872 0.75
9.87435159963 -2.00747055728 0.75
10.1867435329 -2.06235062593 0.75
10.4991354662 -2.11578661623 0.75
10.8115273994 -2.16779682798 0.75
11.1239193327 -2.21839924626 0.75
>> -W0.5,grey,
8.0 -1.09174253607 0.8
8.38010704578 -1.17091334807 0.8
8.76021409155 -1.24780376517 0.8
9.14032113733 -1.32244858978 0.8
9.52042818311 -1.39488196069 0.8
9.90053522889 -1.46513736546 0.8
10.2806422747 -1.53324765322 0.8
10.6607493204 -1.59924504756 0.8
11.0408563662 -1.66316115974 0.8
11.420963412 -1.72502700188 0.8
11.8010704578 -1.78487300034 0.8
>> -W0.5,grey,-
8.0 -0.346508294338 0.85
8.45857873625 -0.443550918783 0.85
8.91715747249 -0.537337081439 0.85
9.37573620874 -0.627924212885 0.85
9.83431494499 -0.715368564726 0.85
10.2928936812 -0.799725294912 0.85
10.7514724175 -0.881048448562 0.85
11.2100511537 -0.959390982899 0.85
11.66862989 -1.03480478634 0.85
12.1272086262 -1.1073406986 0.85
12.5857873625 -1.1770485316 0.85
>> -W0.5,grey,
8.0 0.738668246181 0.9
8.51839889556 0.62732665789 0.9
9.03679779112 0.520029860023 0.9
9.55519668668 0.41670125143 0.9
10.0735955822 0.317265639335 0.9
10.5919944778 0.221649239918 0.9
11.1103933734 0.129779681574 0.9
11.6287922689 0.0415859959122 0.9
12.1471911645 -0.0430013920564 0.9
12.6655900601 -0.124050676877 0.9
13.1839889556 -0.201628688171 0.9
>> -W0.5,grey,-
8.0 2.62784933588 0.95
8.56865368385 2.50425730961 0.95
9.13730736771 2.38529515991 0.95
9.70596105156 2.27087268049 0.95
10.2746147354 2.16090116768 0.95
10.8432684193 2.05529350475 0.95
11.4119221031 1.95396412181 0.95
11.980575787 1.85682904164 0.95
12.5492294708 1.76380588442 0.95
13.1178831547 1.67481387399 0.95
13.6865368385 1.58977384038 0.95
>> -W0.5,grey,
12.806384431 -0.965332314602 0.8
12.8106358479 -0.963510793037 0.8
12.8148872647 -0.961689336251 0.8
12.8191386816 -0.959867944217 0.8
12.8233900984 -0.958046616904 0.8
12.8276415152 -0.95622535428 0.8
12.8318929321 -0.954404156316 0.8
12.8361443489 -0.952583022982 0.8
12.8403957658 -0.950761954248 0.8
12.8446471826 -0.948940950083 0.8
