>> -W1,black
14.880038 -0.615145409828
15.120037 -0.532812736895
15.360036 -0.450624997772
15.600035 -0.368581184403
15.840034 -0.286680301379
16.080033 -0.204921365707
16.320032 -0.123303406594
16.560031 -0.0418254652259
16.80003 0.0395134054421
17.040029 0.120714140893
17.280028 0.201777665252
17.520027 0.282704891478
17.760026 0.363496721566
18.000025 0.444154046727
18.240024 0.524677747577
18.480023 0.605068694317
18.720022 0.685327746908
18.960021 0.765455755245
19.20002 0.845453559326
19.440019 0.925321989413
19.680018 1.0050618662
19.920017 1.08467400097
20.160016 1.16415919573
20.400015 1.24351824342
20.640014 1.32275192796
20.880013 1.40186102452
21.120012 1.48084629955
21.360011 1.55970851099
21.60001 1.63844840837
21.840009 1.71706673296
22.080008 1.79556421792
22.320007 1.87394158835
22.560006 1.95219956153
22.800005 2.03033884694
23.040004 2.10836014643
23.280003 2.18626415435
23.520002 2.26405155762
23.760001 2.34172303588
24.0 2.41927926159
>> -W1,black,.
0.0001 -11.4990265464
0.240099 -11.3999719312
0.480098 -11.3011554472
0.720097 -11.2025745544
0.960096 -11.1042267624
1.200095 -11.0061096285
1.440094 -10.9082207572
1.680093 -10.8105577981
1.920092 -10.7131184454
2.160091 -10.6159004361
2.40009 -10.5189015492
2.640089 -10.4221196045
2.880088 -10.3255524614
3.120087 -10.2291980182
3.360086 -10.1330542107
3.600085 -10.0371190114
3.840084 -9.94139042859
4.080083 -9.84586650556
4.320082 -9.75054531945
4.560081 -9.6554249806
4.80008 -9.56050363165
5.040079 -9.4657794468
5.280078 -9.37125063098
5.520077 -9.27691541917
5.760076 -9.18277207564
6.000075 -9.08881889326
6.240074 -8.99505419282
6.480073 -8.9014763224
6.720072 -8.80808365668
6.960071 -8.71487459639
7.20007 -8.62184756767
7.440069 -8.52900102148
7.680068 -8.43633343308
7.920067 -8.34384330145
8.160066 -8.25152914877
8.400065 -8.15938951991
8.640064 -8.06742298191
8.880063 -7.97562812351
9.120062 -7.88400355469
9.360061 -7.79254790619
9.60006 -7.70125982906
9.840059 -7.61013799426
10.080058 -7.51918109218
10.320057 -7.42838783231
10.560056 -7.33775694275
10.800055 -7.24728716992
11.040054 -7.15697727809
11.280053 -7.06682604907
11.520052 -6.97683228184
11.760051 -6.8869947922
12.00005 -6.79731241241
12.240049 -6.70778399092
12.480048 -6.61840839197
12.720047 -6.52918449532
12.960046 -6.44011119597
13.200045 -6.3511874038
13.440044 -6.26241204334
13.680043 -6.17378405342
13.920042 -6.08530238699
14.160041 -5.99696601075
14.40004 -5.90877390497
14.640039 -5.82072506317
14.880038 -5.73281849192
15.120037 -5.64505321057
15.360036 -5.55742825102
15.600035 -5.46994265749
15.840034 -5.3825954863
16.080033 -5.29538580564
16.320032 -5.20831269534
16.560031 -5.12137524669
16.80003 -5.03457256223
17.040029 -4.94790375553
17.280028 -4.86136795101
17.520027 -4.77496428373
17.760026 -4.68869189924
18.000025 -4.60254995336
18.240024 -4.51653761201
18.480023 -4.43065405106
18.720022 -4.34489845612
18.960021 -4.25927002241
19.20002 -4.17376795457
19.440019 -4.08839146651
19.680018 -4.00313978126
19.920017 -3.91801213082
20.160016 -3.83300775599
20.400015 -3.74812590624
20.640014 -3.66336583956
20.880013 -3.57872682235
21.120012 -3.49420812922
21.360011 -3.40980904293
21.60001 -3.32552885418
21.840009 -3.24136686158
22.080008 -3.15732237141
22.320007 -3.0733946976
22.560006 -2.98958316154
22.800005 -2.905887092
23.040004 -2.822305825
23.280003 -2.73883870369
23.520002 -2.65548507825
23.760001 -2.57224430579
24.0 -2.48911575022
>> -W1,blue,-
0.0001 -8.44550341799
0.240099 -8.27309187834
