>> -Wthin,black
1150.88644295 9.73611471776
1155.94605972 9.73982144139
1161.00567649 9.74349651407
1166.06529326 9.7471398512
1171.12491003 9.75075136855
1176.1845268 9.75433098221
1181.24414357 9.75787860865
1186.30376033 9.76139416469
1191.3633771 9.76487756753
1196.42299387 9.76832873473
1201.48261064 9.77174758425
1206.54222741 9.7751340344
1211.60184418 9.77848800391
1216.66146095 9.78180941189
1221.72107772 9.78509817783
1226.78069448 9.78835422164
1231.84031125 9.79157746363
1236.89992802 9.79476782451
1241.95954479 9.7979252254
1247.01916156 9.80104958785
1252.07877833 9.80414083381
1257.1383951 9.80719888566
1262.19801187 9.81022366621
1267.25762864 9.81321509868
1272.3172454 9.81617310673
1277.37686217 9.81909761446
1282.43647894 9.82198854639
1287.49609571 9.82484582749
1292.55571248 9.82766938317
1297.61532925 9.83045913927
1302.67494602 9.83321502209
1307.73456279 9.83593695837
1312.79417955 9.83862487531
1317.85379632 9.84127870053
1322.91341309 9.84389836214
1327.97302986 9.84648378868
1333.03264663 9.84903490916
1338.0922634 9.85155165305
1343.15188017 9.85403395026
1348.21149694 9.85648173118
1353.2711137 9.85889492666
1358.33073047 9.86127346799
1363.39034724 9.86361728697
1368.44996401 9.86592631582
1373.50958078 9.86820048726
1378.56919755 9.87043973446
1383.62881432 9.87264399106
1388.68843109 9.87481319117
1393.74804786 9.87694726938
1398.80766462 9.87904616075
1403.86728139 9.88110980079
1408.92689816 9.88313812552
1413.98651493 9.8851310714
1419.0461317 9.88708857537
1424.10574847 9.88901057486
1429.16536524 9.89089700776
1434.22498201 9.89274781244
1439.28459877 9.89456292774
1444.34421554 9.89634229299
1449.40383231 9.89808584797
1454.46344908 9.89979353295
1459.52306585 9.90146528869
1464.58268262 9.9031010564
1469.64229939 9.90470077778
1474.70191616 9.906264395
1479.76153292 9.90779185071
1484.82114969 9.90928308803
1489.88076646 9.91073805057
1494.94038323 9.91215668239
1500.0 9.91353892804
>> -Wthin,black
600.0 7.13160252727
609.003607594 7.14112235796
618.007215188 7.15100688039
627.010822781 7.1612661385
636.014430375 7.17190917069
645.018037969 7.18294484833
654.021645563 7.1943833667
663.025253156 7.20623901918
672.02886075 7.21853671562
681.032468344 7.23134120092
690.036075938 7.24474499115
699.039683531 7.25848757947
708.043291125 7.27254832904
717.046898719 7.28691372742
726.050506313 7.30157083338
735.054113907 7.31650736967
744.0577215 7.33171176785
753.061329094 7.34717318
762.064936688 7.36288146901
771.068544282 7.37882718498
780.072151875 7.3950015339
789.075759469 7.41139634199
798.079367063 7.42800401867
807.082974657 7.44481751961
816.08658225 7.46183031095
825.090189844 7.47903633533
834.093797438 7.49642998011
843.097405032 7.51400604778
852.101012626 7.53175972873
861.104620219 7.54968657621
870.108227813 7.56778248313
879.111835407 7.58604366257
888.115443001 7.6044666263
897.119050594 7.62304816936
906.122658188 7.64178535399
915.126265782 7.66067549071
924.129873376 7.67971614171
933.133480969 7.69890508397
942.137088563 7.71824031761
951.140696157 7.7377200498
960.144303751 7.75734268651
969.147911345 7.77710682473
978.151518938 7.7970112454
987.155126532 7.81705490708
996.158734126 7.83723694023
1005.16234172 7.85755664216
1014.16594931 7.87801347272
1023.16955691 7.89860704895
1032.1731645 7.91933714556
1041.17677209 7.94020368605
1050.18037969 7.96120674504
1059.18398728 7.982346544
1068.18759488 8.00362344994
1077.19120247 8.02503797402
1086.19481006 8.04659077061
1095.19841766 8.0682826367
1104.20202525 8.09011451156
1113.20563284 8.11208747689
1122.20924044 8.1342027572
1131.21284803 8.15646172055
1140.21645563 8.17886587966
1149.22006322 8.20141689326
1158.22367081 8.22411656787
1167.22727841 8.24696685986
1176.230886 8.26996987788
1185.23449359 8.29312788561
1194.23810119 8.31644330491
1203.24170878 8.33991871928
1212.24531638 8.36355687777
1221.24892397 8.38736069929
1230.25253156 8.41133327717
1239.25613916 8.43547788446
1248.25974675 8.45979797944
1257.26335435 8.48429721167
1266.26696194 8.50897942862
1275.27056953 8.53384868275
1284.27417713 8.55890923924
1293.27778472 8.58416558428
1302.28139231 8.60962243405
1311.28499991 8.63528474437
1320.2886075 8.66115772116
1329.2922151 8.68724683162
1338.29582269 8.71355781636
1347.29943028 8.74009670245
1356.30303788 8.76686981746
1365.30664547 8.79388380463
1374.31025306 8.82114563976
1383.31386066 8.8486626468
1392.31746825 8.87644251934
1401.32107585 8.90449334169
1410.32468344 8.93282360827
>> -Wthin,black,-
600.0 16.2492739228
610.0 16.2480356775
620.0 16.2467485063
630.0 16.2454125961
640.0 16.2440281156
650.0 16.2425952165
660.0 16.2411140344
670.0 16.2395846892
680.0 16.2380072859
690.0 16.2363819153
700.0 16.2347086548
710.0 16.2329875687
720.0 16.2312187088
730.0 16.2294021149
740.0 16.2275378156
750.0 16.2256258281
760.0 16.2236661594
770.0 16.2216588059
780.0 16.2196037546
790.0 16.2175009826
800.0 16.2153504583
810.0 16.2131521411
820.0 16.2109059817
830.0 16.2086119229
840.0 16.2062698993
850.0 16.2038798379
860.0 16.2014416581
870.0 16.1989552723
880.0 16.1964205854
890.0 16.193837496
900.0 16.1912058955
910.0 16.1885256693
920.0 16.185796696
930.0 16.1830188485
940.0 16.1801919934
950.0 16.1773159915
960.0 16.1743906979
970.0 16.171415962
980.0 16.1683916279
990.0 16.165317534
1000.0 16.1621935138
1010.0 16.1590193954
1020.0 16.1557950019
1030.0 16.1525201513
1040.0 16.1491946567
1050.0 16.1458183267
1060.0 16.1423909647
1070.0 16.1389123697
1080.0 16.1353823359
1090.0 16.1318006531
1100.0 16.1281671065
1110.0 16.1244814769
1120.0 16.1207435407
1130.0 16.11695307
1140.0 16.1131098325
1150.0 16.1092135917
1160.0 16.1052641068
1170.0 16.101261133
1180.0 16.0972044211
1190.0 16.0930937179
1200.0 16.0889287662
1210.0 16.0847093045
1220.0 16.0804350674
1230.0 16.0761057855
1240.0 16.0717211853
1250.0 16.0672809892
1260.0 16.062784916
1270.0 16.0582326801
1280.0 16.0536239923
1290.0 16.0489585591
1300.0 16.0442360834
1310.0 16.039456264
1320.0 16.0346187957
1330.0 16.0297233695
1340.0 16.0247696725
1350.0 16.0197573878
1360.0 16.0146861946
1370.0 16.0095557681
1380.0 16.0043657797
1390.0 15.9991158968
1400.0 15.9938057828
1410.0 15.9884350973
1420.0 15.9830034958
1430.0 15.9775106298
1440.0 15.971956147
1450.0 15.966339691
1460.0 15.9606609013
1470.0 15.9549194135
1480.0 15.9491148592
1490.0 15.9432468658
1500.0 15.9373150567
>> -Wthin,black
1044.63449081 9.65111530917
1051.94829466 9.6367885386
1059.26209851 9.62246458809
1066.57590237 9.60814315704
1073.88970622 9.59382394665
1081.20351007 9.57950666004
1088.51731392 9.56519100221
1095.83111778 9.55087668013
1103.14492163 9.53656340274
1110.45872548 9.52225088101
1117.77252933 9.50793882798
1125.08633319 9.49362695876
1132.40013704 9.47931499057
1139.71394089 9.46500264278
1147.02774474 9.45068963693
1154.3415486 9.43637569673
1161.65535245 9.42206054812
1168.9691563 9.40774391927
1176.28296016 9.39342554062
1183.59676401 9.37910514486
1190.91056786 9.36478246698
1198.22437171 9.35045724428
1205.53817557 9.33612921639
1212.85197942 9.32179812527
1220.16578327 9.30746371523
1227.47958712 9.29312573295
1234.79339098 9.27878392749
1242.10719483 9.26443805027
1249.42099868 9.25008785515
1256.73480253 9.23573309834
1264.04860639 9.22137353852
1271.36241024 9.20700893674
1278.67621409 9.19263905651
1285.99001794 9.17826366375
1293.3038218 9.16388252683
1300.61762565 9.14949541656
1307.9314295 9.13510210619
1315.24523336 9.12070237142
1322.55903721 9.1062959904
1329.87284106 9.09188274374
1337.18664491 9.0774624145
1344.50044877 9.06303478819
1351.81425262 9.04859965278
1359.12805647 9.03415679869
1366.44186032 9.01970601881
1373.75566418 9.00524710848
1381.06946803 8.99077986548
1388.38327188 8.97630409004
1395.69707573 8.96181958487
1403.01087959 8.94732615509
1410.32468344 8.93282360827
>> -Wthin,black
1410.32468344 8.93282360468
1415.04443694 8.84505280691
1419.76419045 8.75706709376
1424.48394395 8.66886569087
1429.20369745 8.58044778749
1433.92345096 8.4918125353
1438.64320446 8.40295904716
1443.36295796 8.31388639584
1448.08271146 8.22459361266
1452.80246497 8.13507968608
1457.52221847 8.0453435602
1462.24197197 7.95538413324
1466.96172548 7.86520025587
1471.68147898 7.77479072958
1476.40123248 7.68415430481
1481.12098599 7.59328967915
1485.84073949 7.50219549536
1490.56049299 7.4108703393
1495.2802465 7.3193127378
1500.0 7.22752115639
>> -Wthin,black
1410.32468344 8.93282360792
1415.04443694 8.97322922441
1419.76419045 9.01367144601
1424.48394395 9.05415019049
1429.20369745 9.09466537492
1433.92345096 9.1352169157
1438.64320446 9.17580472853
1443.36295796 9.21642872837
1448.08271146 9.25708882944
1452.80246497 9.2977849452
1457.52221847 9.33851698834
1462.24197197 9.37928487074
1466.96172548 9.4200885035
1471.68147898 9.46092779685
1476.40123248 9.50180266021
1481.12098599 9.54271300211
1485.84073949 9.5836587302
1490.56049299 9.62463975125
1495.2802465 9.66565597109
1500.0 9.70670729464
