>> -W1,black
8.62478386679 -2.0814383037 0.75
8.93717580018 -2.13866885129 0.75
9.24956773357 -2.19437136572 0.75
9.56195966696 -2.2485652214 0.75
9.87435160036 -2.30126937519 0.75
10.1867435337 -2.35250238244 0.75
10.4991354671 -2.40228240816 0.75
10.8115274005 -2.45062723759 0.75
11.1239193339 -2.49755428884 0.75
>> -W0.5,grey,
8.0 -1.4124115631 0.8
8.38010704583 -1.48607172227 0.8
8.76021409166 -1.55743942093 0.8
9.14032113749 -1.62654922583 0.8
9.52042818332 -1.6934348361 0.8
9.90053522916 -1.7581291131 0.8
10.280642275 -1.82066410884 0.8
10.6607493208 -1.88107109327 0.8
11.0408563666 -1.93938058047 0.8
11.4209634125 -1.99562234058 0.8
11.8010704583 -2.04982548294 0.8
>> -W0.5,grey,-
8.0 -0.67892479133 0.85
8.45857873607 -0.767253224357 0.85
8.91715747213 -0.85230504319 0.85
9.3757362082 -0.934137228841 0.85
9.83431494427 -1.01280512718 0.85
10.2928936803 -1.08836252722 0.85
10.7514724164 -1.16086170242 0.85
11.2100511525 -1.23035349435 0.85
11.6686298885 -1.2968873313 0.85
12.1272086246 -1.36051131248 0.85
12.5857873607 -1.42127224119 0.85
>> -W0.5,grey,
8.0 0.375131718079 0.9
8.51839889544 0.277636295848 0.9
9.03679779087 0.184218298097 0.9
9.55519668631 0.0948010782603 0.9
10.0735955817 0.00931034453408 0.9
10.5919944772 -0.0723259383877 0.9
11.1103933726 -0.15017764232 0.9
11.6287922681 -0.224312563658 0.9
12.1471911635 -0.294796506848 0.9
12.6655900589 -0.361693363529 0.9
13.1839889544 -0.425065187625 0.9
>> -W0.5,grey,-
8.0 2.14846127536 0.95
8.56865368387 2.04931952745 0.95
9.13730736774 1.9548900359 0.95
9.70596105161 1.86507760589 0.95
10.2746147355 1.77979021319 0.95
10.8432684194 1.69893886152 0.95
11.4119221032 1.62243745299 0.95
11.9805757871 1.55020265259 0.95
12.549229471 1.48215377716 0.95
13.1178831548 1.41821267758 0.95
13.6865368387 1.35830363207 0.95
>> -W0.5,grey,
12.8063844311 -1.20275091261 0.8
12.8106358481 -1.20083964791 0.8
12.8148872651 -1.19892844872 0.8
12.8191386822 -1.19701731498 0.8
12.8233900992 -1.19510624668 0.8
12.8276415162 -1.19319524377 0.8
12.8318929333 -1.19128430623 0.8
12.8361443503 -1.18937343401 0.8
12.8403957673 -1.18746262708 0.8
12.8446471844 -1.18555188542 0.8
12.8488986014 -1.18364120898 0.8
>> -W0.5,grey,-
13.1613077022 -0.480700369392 0.85
13.2570822445 -0.437367986243 0.85
13.3528567868 -0.394069934581 0.85
13.4486313291 -0.350805828072 0.85
13.5444058714 -0.307575284096 0.85
13.6401804137 -0.264377923707 0.85
13.735954956 -0.221213371591 0.85
13.8317294983 -0.17808125602 0.85
13.9275040406 -0.134981208846 0.85
14.0232785829 -0.0919128653854 0.85
14.1190531252 -0.048875864457 0.85
>> -W0.5,grey,
13.5050908011 0.555318431686 0.9
13.7194287417 0.65364408197 0.9
13.9337666822 0.751787435292 0.9
14.1481046228 0.84975276371 0.9
14.3624425634 0.947544274175 0.9
14.576780504 1.04516608355 0.9
14.7911184446 1.14262223266 0.9
15.0054563852 1.23991667254 0.9
15.2197943258 1.33705328085 0.9
15.4341322663 1.43403585653 0.9
15.6484702069 1.53086812301 0.9
>> -W0.5,grey,-
13.8391794406 2.3068791135 0.95
14.2044466117 2.48003100858 0.95
14.5697137827 2.6526054242 0.95
14.9349809538 2.82462264351 0.95
15.3002481249 2.99610219917 0.95
15.6655152959 3.16706316288 0.95
16.030782467 3.33752390276 0.95
16.396049638 3.5075022328 0.95
16.7613168091 3.67701542514 0.95
17.1265839801 3.84608021899 0.95
17.4918511512 4.01471283441 0.95
