>> -W0.5,grey,- 
10.500058 -0.0699859727327 0.26
10.750057 -0.0690822215181 0.26
11.000056 -0.0681928650464 0.26
11.250055 -0.0673175722958 0.26
11.500054 -0.0664560222091 0.26
11.750053 -0.0656079033234 0.26
12.000052 -0.0647729134164 0.26
12.250051 -0.0639507591683 0.26
12.50005 -0.063141155838 0.26
12.750049 -0.0623438269538 0.26
13.000048 -0.0615585040166 0.26
13.250047 -0.0607849262165 0.26
13.500046 -0.060022840161 0.26
13.750045 -0.0592719996147 0.26
14.000044 -0.0585321652497 0.26
14.250043 -0.0578031044063 0.26
14.500042 -0.0570845908641 0.26
14.750041 -0.0563764046216 0.26
15.00004 -0.0556783316855 0.26
15.250039 -0.0549901638678 0.26
15.500038 -0.0543116985917 0.26
15.750037 -0.0536427387048 0.26
16.000036 -0.0529830922998 0.26
16.250035 -0.0523325725421 0.26
16.500034 -0.0516909975044 0.26
16.750033 -0.0510581900076 0.26
17.000032 -0.0504339774676 0.26
17.250031 -0.0498181917484 0.26
17.50003 -0.0492106690203 0.26
17.750029 -0.048611249624 0.26
18.000028 -0.0480197779392 0.26
18.250027 -0.0474361022588 0.26
18.500026 -0.0468600746668 0.26
18.750025 -0.0462915509221 0.26
19.000024 -0.0457303903452 0.26
19.250023 -0.0451764557095 0.26
19.500022 -0.0446296131372 0.26
19.750021 -0.0440897319979 0.26
20.00002 -0.0435566848114 0.26
20.250019 -0.0430303471541 0.26
20.500018 -0.0425105975682 0.26
20.750017 -0.0419973174745 0.26
21.000016 -0.0414903910881 0.26
21.250015 -0.0409897053374 0.26
21.500014 -0.0404951497848 0.26
21.750013 -0.0400066165518 0.26
22.000012 -0.0395240002451 0.26
22.250011 -0.0390471978863 0.26
22.50001 -0.0385761088432 0.26
22.750009 -0.038110634764 0.26
23.000008 -0.0376506795133 0.26
23.250007 -0.0371961491107 0.26
23.500006 -0.0367469516709 0.26
23.750005 -0.0363029973459 0.26
24.000004 -0.0358641982692 0.26
24.250003 -0.0354304685024 0.26
24.500002 -0.035001723982 0.26
24.750001 -0.0345778824696 0.26
25.0 -0.0341588635026 0.26
